X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
13.091568,55.685604,0,0,158,0.85,,,,,,,,,,,,,,,,,,,,,,
13.091607,55.685607,0,0,159,0.94,,,,,,,,,,,,,,,,,,,,,,
13.091607,55.685607,0,0,160,0.94,,,,,,,,,,,,,,,,,,,,,,
13.091568,55.685604,0,0,161,0.85,,,,,,,,,,,,,,,,,,,,,,
13.091786,55.685862,0,0,162,1.42,,,,,,,,,,,,,,,,,,,,,,
13.091862,55.686015,0,0,163,1.73,,,,,,,,,,,,,,,,,,,,,,
13.091969,55.686144,0,0,164,2.04,,,,,,,,,,,,,,,,,,,,,,
13.09161,55.686257,0,0,165,1.94,,,,,,,,,,,,,,,,,,,,,,
13.091139,55.686375,0,0,166,2.16,,,,,,,,,,,,,,,,,,,,,,
13.090083,55.686542,0,0,167,2.58,,,,,,,,,,,,,,,,,,,,,,
13.084877,55.687314,0,0,168,2.03,,,,,,,,,,,,,,,,,,,,,,
13.084058,55.68742,0,0,169,2.17,,,,,,,,,,,,,,,,,,,,,,
13.083226,55.687509,0,0,170,2.1,,,,,,,,,,,,,,,,,,,,,,
13.082024,55.687582,0,0,171,2.15,,,,,,,,,,,,,,,,,,,,,,
13.079581,55.687684,0,0,172,2.64,,,,,,,,,,,,,,,,,,,,,,
13.078495,55.687757,0,0,173,1.44,,,,,,,,,,,,,,,,,,,,,,
13.078289,55.687791,0,0,174,1.27,,,,,,,,,,,,,,,,,,,,,,
13.078289,55.687791,0,0,175,1.27,,,,,,,,,,,,,,,,,,,,,,
13.078167,55.687823,0,0,176,1.09,,,,,,,,,,,,,,,,,,,,,,
13.078107,55.687886,0,0,177,1.04,,,,,,,,,,,,,,,,,,,,,,
13.077222,55.688184,0,0,178,1,,,,,,,,,,,,,,,,,,,,,,
13.077061,55.688299,0,0,179,1.36,,,,,,,,,,,,,,,,,,,,,,
13.076868,55.688386,0,0,180,1.41,,,,,,,,,,,,,,,,,,,,,,
13.071963,55.689186,0,0,181,2.8,,,,,,,,,,,,,,,,,,,,,,
13.069302,55.689634,0,0,182,3.35,,,,,,,,,,,,,,,,,,,,,,
13.069302,55.689634,0,0,183,3.35,,,,,,,,,,,,,,,,,,,,,,
13.069038,55.689678,0,0,184,3.89,,,,,,,,,,,,,,,,,,,,,,
13.06687,55.688341,0,0,185,6.05,,,,,,,,,,,,,,,,,,,,,,
13.066793,55.688392,0,0,186,6.03,,,,,,,,,,,,,,,,,,,,,,
13.066534,55.688251,0,0,187,6.18,,,,,,,,,,,,,,,,,,,,,,
13.066371,55.688171,0,0,188,6.32,,,,,,,,,,,,,,,,,,,,,,
13.064372,55.686977,0,0,189,4.95,,,,,,,,,,,,,,,,,,,,,,
13.064243,55.686872,0,0,190,4.73,,,,,,,,,,,,,,,,,,,,,,
